起始地址,结束地址, 广播地址, 可分配主机数,掩码位,
170.33.10.0,170.33.10.255,170.33.10.255,254,24,170.33.10.0/24
170.33.1.0,170.33.1.255,170.33.1.255,254,24,170.33.1.0/24
170.33.0.0,170.33.0.255,170.33.0.255,254,24,170.33.0.0/24
139.224.128.0,139.224.255.255,139.224.255.255,32766,17,139.224.128.0/17
139.224.0.0,139.224.127.255,139.224.127.255,32766,17,139.224.0.0/17
139.224.0.0,139.224.255.255,139.224.255.255,65534,16,139.224.0.0/16
139.196.192.0,139.196.255.255,139.196.255.255,16382,18,139.196.192.0/18
139.196.128.0,139.196.255.255,139.196.255.255,32766,17,139.196.128.0/17
139.196.0.0,139.196.127.255,139.196.127.255,32766,17,139.196.0.0/17
139.196.0.0,139.196.255.255,139.196.255.255,65534,16,139.196.0.0/16
139.129.128.0,139.129.255.255,139.129.255.255,32766,17,139.129.128.0/17
139.129.0.0,139.129.127.255,139.129.127.255,32766,17,139.129.0.0/17
139.129.0.0,139.129.255.255,139.129.255.255,65534,16,139.129.0.0/16
123.57.45.0,123.57.45.255,123.57.45.255,254,24,123.57.45.0/24
123.57.128.0,123.57.255.255,123.57.255.255,32766,17,123.57.128.0/17
123.57.0.0,123.57.0.255,123.57.0.255,254,24,123.57.0.0/24
123.57.0.0,123.57.127.255,123.57.127.255,32766,17,123.57.0.0/17
123.57.0.0,123.57.255.255,123.57.255.255,65534,16,123.57.0.0/16
123.56.128.0,123.56.255.255,123.56.255.255,32766,17,123.56.128.0/17
123.56.0.0,123.56.127.255,123.56.127.255,32766,17,123.56.0.0/17
123.56.0.0,123.56.255.255,123.56.255.255,65534,16,123.56.0.0/16
123.56.0.0,123.57.255.255,123.57.255.255,131070,15,123.56.0.0/15
121.43.128.0,121.43.255.255,121.43.255.255,32766,17,121.43.128.0/17
121.42.64.0,121.42.95.255,121.42.95.255,8190,19,121.42.64.0/19
121.42.64.0,121.42.127.255,121.42.127.255,16382,18,121.42.64.0/18
121.42.240.0,121.42.255.255,121.42.255.255,4094,20,121.42.240.0/20
121.42.224.0,121.42.239.255,121.42.239.255,4094,20,121.42.224.0/20
121.42.224.0,121.42.255.255,121.42.255.255,8190,19,121.42.224.0/19
121.42.192.0,121.42.207.255,121.42.207.255,4094,20,121.42.192.0/20
121.42.192.0,121.42.223.255,121.42.223.255,8190,19,121.42.192.0/19
121.42.17.0,121.42.17.255,121.42.17.255,254,24,121.42.17.0/24
121.42.160.0,121.42.191.255,121.42.191.255,8190,19,121.42.160.0/19
121.42.128.0,121.42.159.255,121.42.159.255,8190,19,121.42.128.0/19
121.42.128.0,121.42.191.255,121.42.191.255,16382,18,121.42.128.0/18
121.42.128.0,121.42.255.255,121.42.255.255,32766,17,121.42.128.0/17
121.42.0.0,121.42.63.255,121.42.63.255,16382,18,121.42.0.0/18
121.42.0.0,121.42.127.255,121.42.127.255,32766,17,121.42.0.0/17
121.42.0.0,121.43.255.255,121.43.255.255,131070,15,121.42.0.0/15
121.41.128.0,121.41.255.255,121.41.255.255,32766,17,121.41.128.0/17
121.41.0.0,121.41.127.255,121.41.127.255,32766,17,121.41.0.0/17
121.41.0.0,121.41.255.255,121.41.255.255,65534,16,121.41.0.0/16
121.40.128.0,121.40.255.255,121.40.255.255,32766,17,121.40.128.0/17
121.40.0.0,121.40.127.255,121.40.127.255,32766,17,121.40.0.0/17
121.40.0.0,121.41.255.255,121.41.255.255,131070,15,121.40.0.0/15
121.40.0.0,121.43.255.255,121.43.255.255,262142,14,121.40.0.0/14
121.199.128.0,121.199.255.255,121.199.255.255,32766,17,121.199.128.0/17
121.199.0.0,121.199.127.255,121.199.127.255,32766,17,121.199.0.0/17
121.199.0.0,121.199.255.255,121.199.255.255,65534,16,121.199.0.0/16
121.198.128.0,121.198.255.255,121.198.255.255,32766,17,121.198.128.0/17
121.198.0.0,121.198.127.255,121.198.127.255,32766,17,121.198.0.0/17
121.198.0.0,121.198.255.255,121.198.255.255,65534,16,121.198.0.0/16
121.197.0.0,121.197.255.255,121.197.255.255,65534,16,121.197.0.0/16
121.196.128.0,121.196.255.255,121.196.255.255,32766,17,121.196.128.0/17
121.196.0.0,121.196.127.255,121.196.127.255,32766,17,121.196.0.0/17
121.196.0.0,121.196.255.255,121.196.255.255,65534,16,121.196.0.0/16
121.196.0.0,121.199.255.255,121.199.255.255,262142,14,121.196.0.0/14
120.79.128.0,120.79.255.255,120.79.255.255,32766,17,120.79.128.0/17
120.79.0.0,120.79.127.255,120.79.127.255,32766,17,120.79.0.0/17
120.79.0.0,120.79.255.255,120.79.255.255,65534,16,120.79.0.0/16
120.78.128.0,120.78.255.255,120.78.255.255,32766,17,120.78.128.0/17
120.78.0.0,120.78.127.255,120.78.127.255,32766,17,120.78.0.0/17
120.78.0.0,120.78.255.255,120.78.255.255,65534,16,120.78.0.0/16
120.78.0.0,120.79.255.255,120.79.255.255,131070,15,120.78.0.0/15
120.77.128.0,120.77.255.255,120.77.255.255,32766,17,120.77.128.0/17
120.77.0.0,120.77.127.255,120.77.127.255,32766,17,120.77.0.0/17
120.77.0.0,120.77.255.255,120.77.255.255,65534,16,120.77.0.0/16
120.76.128.0,120.76.255.255,120.76.255.255,32766,17,120.76.128.0/17
120.76.0.0,120.76.127.255,120.76.127.255,32766,17,120.76.0.0/17
120.76.0.0,120.76.255.255,120.76.255.255,65534,16,120.76.0.0/16
120.76.0.0,120.77.255.255,120.77.255.255,131070,15,120.76.0.0/15
120.55.128.0,120.55.255.255,120.55.255.255,32766,17,120.55.128.0/17
120.55.0.0,120.55.127.255,120.55.127.255,32766,17,120.55.0.0/17
120.55.0.0,120.55.255.255,120.55.255.255,65534,16,120.55.0.0/16
120.27.64.0,120.27.127.255,120.27.127.255,16382,18,120.27.64.0/18
120.27.32.0,120.27.63.255,120.27.63.255,8190,19,120.27.32.0/19
120.27.224.0,120.27.255.255,120.27.255.255,8190,19,120.27.224.0/19
120.27.192.0,120.27.223.255,120.27.223.255,8190,19,120.27.192.0/19
120.27.192.0,120.27.255.255,120.27.255.255,16382,18,120.27.192.0/18
120.27.160.0,120.27.191.255,120.27.191.255,8190,19,120.27.160.0/19
120.27.128.0,120.27.159.255,120.27.159.255,8190,19,120.27.128.0/19
120.27.128.0,120.27.191.255,120.27.191.255,16382,18,120.27.128.0/18
120.27.128.0,120.27.255.255,120.27.255.255,32766,17,120.27.128.0/17
120.27.0.0,120.27.31.255,120.27.31.255,8190,19,120.27.0.0/19
120.27.0.0,120.27.63.255,120.27.63.255,16382,18,120.27.0.0/18
120.27.0.0,120.27.127.255,120.27.127.255,32766,17,120.27.0.0/17
120.26.128.0,120.26.255.255,120.26.255.255,32766,17,120.26.128.0/17
120.26.0.0,120.26.127.255,120.26.127.255,32766,17,120.26.0.0/17
120.26.0.0,120.26.255.255,120.26.255.255,65534,16,120.26.0.0/16
120.25.0.0,120.25.127.255,120.25.127.255,32766,17,120.25.0.0/17
120.25.0.0,120.25.255.255,120.25.255.255,65534,16,120.25.0.0/16
120.24.128.0,120.24.255.255,120.24.255.255,32766,17,120.24.128.0/17
120.24.0.0,120.24.127.255,120.24.127.255,32766,17,120.24.0.0/17
120.24.0.0,120.24.255.255,120.24.255.255,65534,16,120.24.0.0/16
120.24.0.0,120.25.255.255,120.25.255.255,131070,15,120.24.0.0/15
120.24.0.0,120.27.255.255,120.27.255.255,262142,14,120.24.0.0/14
119.23.128.0,119.23.255.255,119.23.255.255,32766,17,119.23.128.0/17
119.23.0.0,119.23.63.255,119.23.63.255,16382,18,119.23.0.0/18
119.23.0.0,119.23.127.255,119.23.127.255,32766,17,119.23.0.0/17
119.23.0.0,119.23.255.255,119.23.255.255,65534,16,119.23.0.0/16
118.31.128.0,118.31.255.255,118.31.255.255,32766,17,118.31.128.0/17
118.31.0.0,118.31.127.255,118.31.127.255,32766,17,118.31.0.0/17
118.31.0.0,118.31.255.255,118.31.255.255,65534,16,118.31.0.0/16
118.190.128.0,118.190.255.255,118.190.255.255,32766,17,118.190.128.0/17
118.190.0.0,118.190.127.255,118.190.127.255,32766,17,118.190.0.0/17
118.190.0.0,118.190.255.255,118.190.255.255,65534,16,118.190.0.0/16
118.178.128.0,118.178.255.255,118.178.255.255,32766,17,118.178.128.0/17
118.178.0.0,118.178.127.255,118.178.127.255,32766,17,118.178.0.0/17
118.178.0.0,118.178.255.255,118.178.255.255,65534,16,118.178.0.0/16
116.62.0.0,116.62.127.255,116.62.127.255,32766,17,116.62.0.0/17
116.62.0.0,116.62.255.255,116.62.255.255,65534,16,116.62.0.0/16
115.29.64.0,115.29.95.255,115.29.95.255,8190,19,115.29.64.0/19
115.29.64.0,115.29.127.255,115.29.127.255,16382,18,115.29.64.0/18
115.29.48.0,115.29.63.255,115.29.63.255,4094,20,115.29.48.0/20
115.29.32.0,115.29.63.255,115.29.63.255,8190,19,115.29.32.0/19
115.29.128.0,115.29.159.255,115.29.159.255,8190,19,115.29.128.0/19
115.29.128.0,115.29.191.255,115.29.191.255,16382,18,115.29.128.0/18
115.29.128.0,115.29.255.255,115.29.255.255,32766,17,115.29.128.0/17
115.29.0.0,115.29.127.255,115.29.127.255,32766,17,115.29.0.0/17
115.29.0.0,115.29.255.255,115.29.255.255,65534,16,115.29.0.0/16
115.28.64.0,115.28.95.255,115.28.95.255,8190,19,115.28.64.0/19
115.28.64.0,115.28.127.255,115.28.127.255,16382,18,115.28.64.0/18
115.28.32.0,115.28.63.255,115.28.63.255,8190,19,115.28.32.0/19
115.28.224.0,115.28.255.255,115.28.255.255,8190,19,115.28.224.0/19
115.28.192.0,115.28.255.255,115.28.255.255,16382,18,115.28.192.0/18
115.28.128.0,115.28.191.255,115.28.191.255,16382,18,115.28.128.0/18
115.28.128.0,115.28.255.255,115.28.255.255,32766,17,115.28.128.0/17
115.28.0.0,115.28.63.255,115.28.63.255,16382,18,115.28.0.0/18
115.28.0.0,115.28.127.255,115.28.127.255,32766,17,115.28.0.0/17
115.28.0.0,115.28.255.255,115.28.255.255,65534,16,115.28.0.0/16
114.55.192.0,114.55.255.255,114.55.255.255,16382,18,114.55.192.0/18
114.55.128.0,114.55.255.255,114.55.255.255,32766,17,114.55.128.0/17
114.55.0.0,114.55.127.255,114.55.127.255,32766,17,114.55.0.0/17
114.55.0.0,114.55.255.255,114.55.255.255,65534,16,114.55.0.0/16
114.215.96.0,114.215.127.255,114.215.127.255,8190,19,114.215.96.0/19
114.215.64.0,114.215.95.255,114.215.95.255,8190,19,114.215.64.0/19
114.215.64.0,114.215.127.255,114.215.127.255,16382,18,114.215.64.0/18
114.215.32.0,114.215.63.255,114.215.63.255,8190,19,114.215.32.0/19
114.215.220.0,114.215.221.255,114.215.221.255,510,23,114.215.220.0/23
114.215.220.0,114.215.223.255,114.215.223.255,1022,22,114.215.220.0/22
114.215.160.0,114.215.163.255,114.215.163.255,1022,22,114.215.160.0/22
114.215.160.0,114.215.167.255,114.215.167.255,2046,21,114.215.160.0/21
114.215.128.0,114.215.159.255,114.215.159.255,8190,19,114.215.128.0/19
114.215.128.0,114.215.255.255,114.215.255.255,32766,17,114.215.128.0/17
114.215.0.0,114.215.63.255,114.215.63.255,16382,18,114.215.0.0/18
114.215.0.0,114.215.127.255,114.215.127.255,32766,17,114.215.0.0/17
114.215.0.0,114.215.255.255,114.215.255.255,65534,16,114.215.0.0/16
112.74.128.0,112.74.255.255,112.74.255.255,32766,17,112.74.128.0/17
112.74.0.0,112.74.127.255,112.74.127.255,32766,17,112.74.0.0/17
112.74.0.0,112.74.255.255,112.74.255.255,65534,16,112.74.0.0/16
112.127.64.0,112.127.127.255,112.127.127.255,16382,18,112.127.64.0/18
112.127.128.0,112.127.255.255,112.127.255.255,32766,17,112.127.128.0/17
112.127.0.0,112.127.127.255,112.127.127.255,32766,17,112.127.0.0/17
112.127.0.0,112.127.255.255,112.127.255.255,65534,16,112.127.0.0/16
112.126.128.0,112.126.255.255,112.126.255.255,32766,17,112.126.128.0/17
112.126.0.0,112.126.127.255,112.126.127.255,32766,17,112.126.0.0/17
112.126.0.0,112.126.255.255,112.126.255.255,65534,16,112.126.0.0/16
112.125.128.0,112.125.255.255,112.125.255.255,32766,17,112.125.128.0/17
112.125.0.0,112.125.127.255,112.125.127.255,32766,17,112.125.0.0/17
112.125.0.0,112.125.255.255,112.125.255.255,65534,16,112.125.0.0/16
112.124.210.0,112.124.210.255,112.124.210.255,254,24,112.124.210.0/24
112.124.209.0,112.124.209.255,112.124.209.255,254,24,112.124.209.0/24
112.124.128.0,112.124.255.255,112.124.255.255,32766,17,112.124.128.0/17
112.124.0.0,112.124.127.255,112.124.127.255,32766,17,112.124.0.0/17
112.124.0.0,112.124.255.255,112.124.255.255,65534,16,112.124.0.0/16
110.76.40.0,110.76.47.255,110.76.47.255,2046,21,110.76.40.0/21
110.76.32.0,110.76.47.255,110.76.47.255,4094,20,110.76.32.0/20
106.15.128.0,106.15.255.255,106.15.255.255,32766,17,106.15.128.0/17
106.15.0.0,106.15.127.255,106.15.127.255,32766,17,106.15.0.0/17
106.15.0.0,106.15.255.255,106.15.255.255,65534,16,106.15.0.0/16
106.14.128.0,106.14.255.255,106.14.255.255,32766,17,106.14.128.0/17
106.14.0.0,106.14.127.255,106.14.127.255,32766,17,106.14.0.0/17
106.14.0.0,106.14.255.255,106.14.255.255,65534,16,106.14.0.0/16
106.14.0.0,106.15.255.255,106.15.255.255,131070,15,106.14.0.0/15
103.15.96.0,103.15.99.255,103.15.99.255,1022,22,103.15.96.0/22
101.37.128.0,101.37.255.255,101.37.255.255,32766,17,101.37.128.0/17
101.37.0.0,101.37.127.255,101.37.127.255,32766,17,101.37.0.0/17
101.37.0.0,101.37.255.255,101.37.255.255,65534,16,101.37.0.0/16
101.201.128.0,101.201.255.255,101.201.255.255,32766,17,101.201.128.0/17
101.201.0.0,101.201.127.255,101.201.127.255,32766,17,101.201.0.0/17
101.201.0.0,101.201.255.255,101.201.255.255,65534,16,101.201.0.0/16
101.200.128.0,101.200.255.255,101.200.255.255,32766,17,101.200.128.0/17
101.200.0.0,101.200.127.255,101.200.127.255,32766,17,101.200.0.0/17
101.200.0.0,101.200.255.255,101.200.255.255,65534,16,101.200.0.0/16
101.200.0.0,101.201.255.255,101.201.255.255,131070,15,101.200.0.0/15
101.133.128.0,101.133.255.255,101.133.255.255,32766,17,101.133.128.0/17
101.133.0.0,101.133.127.255,101.133.127.255,32766,17,101.133.0.0/17
101.133.0.0,101.133.255.255,101.133.255.255,65534,16,101.133.0.0/16
101.132.128.0,101.132.255.255,101.132.255.255,32766,17,101.132.128.0/17
101.132.0.0,101.132.127.255,101.132.127.255,32766,17,101.132.0.0/17
101.132.0.0,101.132.255.255,101.132.255.255,65534,16,101.132.0.0/16
101.132.0.0,101.133.255.255,101.133.255.255,131070,15,101.132.0.0/15
